Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min Air Raids,Max Air Raids,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day,,,,
86,28/03/2015,Hudaydah,Al-Hudaydah City,Al-Damghah Neighbourhood,Residential Area,Civilian,Residential Area,1,2,30,0,0,0,30,12,13,unkn,Evening,,,,
87,28/03/2015,Hudaydah,Bajil,Kilo 7,Coastal Defence Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
88,28/03/2015,Jawf,Al-Ghayl,-,House (reportedly belonging to an Islah leader Al-Hasan Abkar),Political_Tribal,Figure,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
89,28/03/2015,Marib,Marib,The City,180th Air Defence Military Camp Radars,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
90,28/03/2015,Marib,Marib,Sahn Al-Jin,14th Armoured Brigade,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,17,Afternoon,,,,
91,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Unknown,,,,
92,28/03/2015,Saada,Sa'ada,The City,School ,Educational_facility,School,1,2,0,0,0,0,0,0,0,13,Afternoon,,,,
93,28/03/2015,Saada,Sa'ada,The City,Electricity station,Economic_infrastructure,Water & Electricity,1,2,0,0,0,0,0,0,0,13,Afternoon,,,,
94,28/03/2015,Saada,Sa'ada,-,Central jail ,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
95,28/03/2015,Saada,Sa'ada,-,Yemeni Gas Company,Infrastructure,Gov. compounds,1,2,0,0,0,0,0,0,0,16,Afternoon,,,,
96,28/03/2015,Saada,Al-Dhaher,Al-Malaheet,105th Infantry Brigade (Al-Kamb Military Camp),Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
97,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
98,28/03/2015,Saada,Saqain,Al-Sha'af,Unknown,Unknown,Unknown,1,3,0,0,0,0,0,0,0,unkn,Evening,,,,
99,28/03/2015,Saada,Sa'ada,Kahlan,Kahlan Military Camp,Military_Security_Target,Military Site,1,8,0,0,0,0,0,0,0,23,Night,,,,
100,28/03/2015,Saada,Sa'ada,-,1st Artillery Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,24,Night,,,,
101,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,1,Early-Morning,,,,
102,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
103,29/03/2015,Capital,Ma'ain,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
104,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
105,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
106,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,21,Evening,,,,
107,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,21,Evening,,,,
108,29/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
109,29/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
110,29/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
111,29/03/2015,Bayda,No'man,Aqabat Al-Sahah,Pro-Houthi forces,Military_Security_Target,Forces,1,1,0,0,0,0,0,0,0,16,Afternoon,,,,
112,29/03/2015,Dhamar,Ans,Al-Qarn,Pro-Houthi forces training camps,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,22,Night,,,,
113,29/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,1,Early-Morning,,,,
114,29/03/2015,Hudaydah,Al-Mina,Al-Katheeb,Air Defence Battalion,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Unknown,,,,
115,29/03/2015,Hudaydah,Al-Mina,-,Naval Collage,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,21,Evening,,,,
116,29/03/2015,Hudaydah,Al-Mina,Al-Katheeb,Radar station,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,21,Evening,,,,
117,29/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,21,Evening,,,,
118,29/03/2015,Jawf,Khab Wa Al-Sha'af,Habash Mountain,Telecommunications Towers,Infrastructure,Communication,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
119,29/03/2015,Marib,Marib,East of Marib City,Military Sites,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
120,29/03/2015,Marib,Marib,Sahn Al-Jin,Detecting Radars,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,21,Evening,,,,
121,29/03/2015,Marib,Marib,Third Military  region HQ,Air Defence Battalion,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,21,Evening,,,,
122,29/03/2015,Saada,Baqim,"Ma'ali, Mara'a, Abwab Al-Hadeed",Residential Area,Civilian,Residential Area,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
123,29/03/2015,Saada,Sihar,Al-Mahadher,Pro-Houthi forces,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
124,29/03/2015,Saada,Razih,-,Pro-Houthi forces,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
